X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code
230235.735831870377297,903898.801529380027205,59,13046.00000000000,2600.00000000000,2.00000000000,"2bd/1ba - 1200ftÃ‚Â² - Huron village beauty, garage parking, HT/HW incl.",,2015-11-03 19:55:46,2015-11-03 20:58:21.046605,2015-11-03 20:58:21.046605,0.00000000000,18.00000000000,230235.73583200001,903898.80152900005,0,230235.735832_903898.801529
230725.582422471547034,899764.160662076785229,60,13061.00000000000,2400.00000000000,2.00000000000,Coolidge Corner 2BR/2Bath with Heat+HW+Parking Included! Nov/Dec Move,,2015-11-03 19:55:22,2015-11-03 20:58:26.40757,2015-11-03 20:58:26.40757,0.00000000000,18.00000000000,230725.58242200001,899764.16066199995,0,230725.582422_899764.160662
235665.744938231713604,901225.73369332193397,61,13063.00000000000,2800.00000000000,2.00000000000,Ã¢Â–ÂŒGREAT FOR ROOMMATESÃ¢Â–Â 1/1 Chrming Two Bed in Beacon Hill Brownstone,,2015-11-03 19:55:43,2015-11-03 20:58:31.671524,2015-11-03 20:58:31.671524,0.00000000000,18.00000000000,235665.74493799999,901225.73369300005,0,235665.744938_901225.733693
235670.407752852072008,901232.199899616301991,62,13066.00000000000,2800.00000000000,2.00000000000,Ã¢Â–ÂŒSTEPS TO MGHÃ¢Â–Â 1/1 Charming Two Bed on Beacon Hill 1/2 OFF FEE,,2015-11-03 18:31:30,2015-11-03 20:58:31.688166,2015-11-03 20:58:31.688166,0.00000000000,18.00000000000,235670.40775300001,901232.19990000001,0,235670.407753_901232.1999
235604.599367103772238,901180.881228503887542,63,13067.00000000000,3000.00000000000,2.00000000000,"Penthouse condo w/ roof-deck, laundry!  JANUARY",,2015-11-02 19:58:11,2015-11-03 20:58:31.693709,2015-11-03 20:58:31.693709,0.00000000000,18.00000000000,235604.59936699999,901180.88122900005,0,235604.599367_901180.881229
235623.255743273941334,901238.292145427083597,64,13069.00000000000,2850.00000000000,2.00000000000,Reduced Move-in Costs! Downtown Boston/Beacon Hill (Modern Design),,2015-11-02 19:36:24,2015-11-03 20:58:31.704526,2015-11-03 20:58:31.704526,0.00000000000,18.00000000000,235623.25574299999,901238.29214499996,0,235623.255743_901238.292145
235604.663530642108526,901168.218638596008532,65,13073.00000000000,3300.00000000000,2.00000000000,"//MUST SEE//Gorgeous Sunny updated 2 bd, in unit W/D Red T 1/1",,2015-10-31 16:52:08,2015-11-03 20:58:31.72738,2015-11-03 20:58:31.72738,0.00000000000,18.00000000000,235604.66353100000,901168.21863899997,0,235604.663531_901168.218639
235628.177102651476162,901193.774734309408814,66,13075.00000000000,3310.00000000000,2.00000000000,Ã¢Â˜Â› 1 MONTH FREE! Ã¢Â˜Âš Near MGH/CHARLES ST! HEAT Included! Hardwood Gym,,2015-10-30 19:19:49,2015-11-03 20:58:31.738484,2015-11-03 20:58:31.738484,0.00000000000,18.00000000000,235628.17710299999,901193.77473399998,0,235628.177103_901193.774734
235642.055371130758431,901251.161477643763646,67,13093.00000000000,2850.00000000000,2.00000000000,Beacon Hill * 2 Bedroom * Laundry * No Fee,,2015-10-27 20:36:59,2015-11-03 20:58:31.852949,2015-11-03 20:58:31.852949,0.00000000000,18.00000000000,235642.05537099999,901251.16147799999,0,235642.055371_901251.161478
244974.543432563077658,912136.920205078553408,68,13097.00000000000,1200.00000000000,2.00000000000,2 bedroom 2nd Floor,,2015-11-03 19:54:11,2015-11-03 20:58:31.875683,2015-11-03 20:58:31.875683,0.00000000000,18.00000000000,244974.54343300001,912136.92020499997,0,244974.543433_912136.920205
